Country,City ,month ,Avg. Temperature °C (°F),Min. Temperature °C (°F),Max. Temperature °C (°F),Precipitation / Rainfall mm (in),Humidity(%),Rainy days (d),avg. Sun hours (hours)
Venezuela ,Aragua,March,"21.5 °C
(70.6) °F","19 °C
(66.1) °F","25.1 °C
(77.2) °F","111
(4)",83%,14,7.4
Venezuela ,Aragua,April,"22.1 °C
(71.8) °F","19.9 °C
(67.9) °F","25.4 °C
(77.7) °F","182
(7)",84%,17,7.1
Venezuela ,Aragua,May,"22.6 °C
(72.7) °F","20.4 °C
(68.7) °F","25.7 °C
(78.2) °F","175
(6)",82%,16,7.6
Venezuela ,Aragua,June,"22.4 °C
(72.4) °F","20.2 °C
(68.4) °F","25.4 °C
(77.7) °F","124
(4)",81%,16,7.9
Venezuela ,Aragua,July,"22.1 °C
(71.9) °F","19.9 °C
(67.8) °F","25.1 °C
(77.2) °F","144
(5)",82%,18,7.7
Venezuela ,Aragua,August,"22.5 °C
(72.5) °F","20.1 °C
(68.1) °F","25.5 °C
(78) °F","133
(5)",81%,17,7.9
Venezuela ,Aragua,September,"22.9 °C
(73.2) °F","20.3 °C
(68.6) °F","26.2 °C
(79.1) °F","120
(4)",80%,15,8.3
Venezuela ,Aragua,October,"22.7 °C
(72.9) °F","20.4 °C
(68.8) °F","25.9 °C
(78.6) °F","151
(5)",82%,16,7.8
Venezuela ,Aragua,November,"22 °C
(71.6) °F","20 °C
(68.1) °F","24.9 °C
(76.9) °F","170
(6)",86%,17,6.6
Venezuela ,Aragua,December,"21.3 °C
(70.3) °F","19.2 °C
(66.5) °F","24.3 °C
(75.8) °F","105
(4)",85%,15,6.7
Venezuela ,Merida,January,"12.7 °C
(54.9) °F","9.7 °C
(49.5) °F","16.6 °C
(62) °F","120
(4)",81%,18,6
Venezuela ,Merida,February,"13 °C
(55.4) °F","10 °C
(50) °F","17 °C
(62.6) °F","141
(5)",81%,17,5.9
Venezuela ,Merida,March,"13.4 °C
(56.1) °F","10.4 °C
(50.8) °F","17.3 °C
(63.1) °F","226
(8)",84%,20,5.7
Venezuela ,Merida,April,"13.7 °C
(56.7) °F","10.7 °C
(51.3) °F","17.6 °C
(63.6) °F","293
(11)",88%,20,5.8
Venezuela ,Merida,May,"13.8 °C
(56.9) °F","10.8 °C
(51.4) °F","17.7 °C
(63.8) °F","236
(9)",87%,20,6.6
Venezuela ,Merida,June,"13.4 °C
(56.2) °F","10.3 °C
(50.5) °F","17.3 °C
(63.2) °F","158
(6)",85%,18,7.3
Venezuela ,Merida,July,"13.2 °C
(55.7) °F","9.9 °C
(49.9) °F","17.1 °C
(62.7) °F","153
(6)",84%,19,7.4
Venezuela ,Merida,August,"13.5 °C
(56.3) °F","10.2 °C
(50.3) °F","17.5 °C
(63.5) °F","151
(5)",85%,19,7.2
Venezuela ,Merida,September,"13.8 °C
(56.8) °F","10.5 °C
(50.8) °F","17.8 °C
(64) °F","147
(5)",84%,18,7.2
Venezuela ,Merida,October,"13.7 °C
(56.6) °F","10.5 °C
(51) °F","17.6 °C
(63.7) °F","209
(8)",86%,20,6.7
Venezuela ,Merida,November,"13.4 °C
(56.1) °F","10.3 °C
(50.5) °F","17.3 °C
(63.1) °F","205
(8)",87%,20,5.9
Venezuela ,Merida,December,"12.9 °C
(55.2) °F","9.8 °C
(49.6) °F","16.8 °C
(62.2) °F","154
(6)",85%,18,6
Brazil,Acre,January,"25.4 °C
(77.7) °F","22.9 °C
(73.3) °F","29.3 °C
(84.7) °F","262
(10)",89%,20,8.1
Brazil,Acre,February,"25.3 °C
(77.5) °F","22.9 °C
(73.1) °F","29.2 °C
(84.5) °F","251
(9)",89%,18,7.6
Brazil,Acre,March,"25.3 °C
(77.5) °F","22.8 °C
(73) °F","29.3 °C
(84.7) °F","255
(10)",89%,20,7.2
Brazil,Acre,April,"25 °C
(77) °F","22.4 °C
(72.4) °F","29 °C
(84.2) °F","166
(6)",89%,17,6.4
Brazil,Acre,May,"24.4 °C
(76) °F","21.6 °C
(70.9) °F","28.5 °C
(83.3) °F","83
(3)",86%,12,6.2
Brazil,Acre,June,"24.4 °C
(75.9) °F","20.9 °C
(69.6) °F","29 °C
(84.2) °F","34
(1)",82%,5,7.1
Brazil,Acre,July,"25 °C
(77) °F","20.5 °C
(68.9) °F","30.5 °C
(87) °F","23
(0)",72%,4,8.7
Brazil,Acre,August,"26.4 °C
(79.4) °F","21.5 °C
(70.7) °F","32.3 °C
(90.2) °F","41
(1)",66%,5,9.5
Brazil,Acre,September,"27 °C
(80.6) °F","22.8 °C
(73) °F","32.7 °C
(90.9) °F","82
(3)",72%,9,9.1
Brazil,Acre,October,"26.5 °C
(79.8) °F","23.1 °C
(73.6) °F","31.5 °C
(88.7) °F","146
(5)",81%,14,8.5
Brazil,Acre,November,"25.8 °C
(78.4) °F","23 °C
(73.3) °F","30 °C
(86) °F","210
(8)",86%,17,8
Brazil,Acre,December,"25.5 °C
(77.9) °F","23 °C
(73.4) °F","29.5 °C
(85.1) °F","253
(9)",88%,19,8.1
Brazil,Amapa,January,"25.6 °C
(78) °F","23.6 °C
(74.5) °F","28.6 °C
(83.5) °F","281
(11)",85%,21,7
Brazil,Amapa,February,"25.1 °C
(77.1) °F","23.3 °C
(73.9) °F","27.9 °C
(82.2) °F","332
(13)",88%,19,6.3
Brazil,Amapa,March,"25.2 °C
(77.4) °F","23.4 °C
(74) °F","28.1 °C
(82.6) °F","399
(15)",88%,21,6.5
Brazil,Amapa,April,"25.3 °C
(77.5) °F","23.4 °C
(74.1) °F","28 °C
(82.5) °F","384
(15)",89%,21,6.4
Brazil,Amapa,May,"25.5 °C
(78) °F","23.6 °C
(74.5) °F","28.3 °C
(82.9) °F","364
(14)",89%,21,6.7
Brazil,Amapa,June,"25.8 °C
(78.4) °F","23.6 °C
(74.6) °F","28.6 °C
(83.5) °F","213
(8)",86%,20,7.6
Brazil,Amapa,July,"26 °C
(78.8) °F","23.7 °C
(74.7) °F","29 °C
(84.2) °F","171
(6)",84%,20,8.1
Brazil,Amapa,August,"26.8 °C
(80.3) °F","24.4 °C
(75.9) °F","30.1 °C
(86.3) °F","88
(3)",79%,16,8.7
Brazil,Amapa,September,"27.6 °C
(81.7) °F","24.9 °C
(76.8) °F","31.2 °C
(88.2) °F","36
(1)",74%,8,9
Brazil,Amapa,October,"28.1 °C
(82.6) °F","25.1 °C
(77.2) °F","31.9 °C
(89.4) °F","26
(1)",70%,5,9.1
Brazil,Amapa,November,"28.1 °C
(82.6) °F","25.2 °C
(77.3) °F","31.9 °C
(89.4) °F","41
(1)",71%,9,9.1
Brazil,Amapa,December,"26.8 °C
(80.2) °F","24.4 °C
(75.9) °F","30.1 °C
(86.2) °F","140
(5)",79%,18,8.2
Brazil,Amazonas,January,"26 °C
(78.9) °F","24 °C
(75.2) °F","29.1 °C
(84.5) °F","322
(12)",87%,20,7.8
Brazil,Amazonas,February,"25.8 °C
(78.5) °F","23.9 °C
(75) °F","28.9 °C
(84) °F","331
(13)",87%,18,7.7
Brazil,Amazonas,March,"25.9 °C
(78.6) °F","23.9 °C
(75) °F","29 °C
(84.3) °F","395
(15)",88%,21,7.6
Brazil,Amazonas,April,"25.8 °C
(78.5) °F","23.9 °C
(75) °F","28.9 °C
(84) °F","385
(15)",88%,20,7.2
Brazil,Amazonas,May,"25.8 °C
(78.4) °F","23.8 °C
(74.8) °F","28.8 °C
(83.8) °F","334
(13)",89%,21,7
Brazil,Amazonas,June,"25.9 °C
(78.6) °F","23.5 °C
(74.4) °F","29 °C
(84.2) °F","200
(7)",87%,17,7.9
Brazil,Amazonas,July,"26.1 °C
(79) °F","23.5 °C
(74.3) °F","29.5 °C
(85.1) °F","133
(5)",85%,15,8.6
Brazil,Amazonas,August,"27.1 °C
(80.7) °F","24.1 °C
(75.4) °F","30.9 °C
(87.6) °F","114
(4)",81%,13,9.2
Brazil,Amazonas,September,"27.5 °C
(81.4) °F","24.5 °C
(76.1) °F","31.3 °C
(88.3) °F","133
(5)",80%,14,8.9
Brazil,Amazonas,October,"27.6 °C
(81.7) °F","24.8 °C
(76.7) °F","31.3 °C
(88.3) °F","159
(6)",80%,15,8.9
Brazil,Amazonas,November,"27.2 °C
(80.9) °F","24.8 °C
(76.6) °F","30.6 °C
(87.2) °F","193
(7)",83%,17,8.6
Brazil,Amazonas,December,"26.4 °C
(79.6) °F","24.3 °C
(75.8) °F","29.5 °C
(85.2) °F","302
(11)",86%,20,8.1
Brazil,Para ,January,"26.2 °C
(79.2) °F","24.4 °C
(76) °F","29.3 °C
(84.7) °F","239
(9)",84%,20,7.5
Brazil,Para ,February,"25.7 °C
(78.2) °F","24.1 °C
(75.4) °F","28.6 °C
(83.4) °F","322
(12)",87%,19,6.7
Brazil,Para ,March,"25.6 °C
(78.1) °F","24.1 °C
(75.3) °F","28.5 °C
(83.3) °F","404
(15)",87%,22,6.4
Brazil,Para ,April,"25.7 °C
(78.3) °F","24.1 °C
(75.5) °F","28.5 °C
(83.3) °F","398
(15)",88%,21,6.2
Brazil,Para ,May,"26.1 °C
(79) °F","24.3 °C
(75.8) °F","29.1 °C
(84.3) °F","264
(10)",86%,20,7.3
Brazil,Para ,June,"26.3 °C
(79.3) °F","24.3 °C
(75.7) °F","29.4 °C
(85) °F","117
(4)",83%,16,8.6
Brazil,Para ,July,"26.4 °C
(79.6) °F","24.2 °C
(75.5) °F","29.8 °C
(85.7) °F","78
(3)",81%,13,8.9
Brazil,Para ,August,"27.1 °C
(80.7) °F","24.5 °C
(76) °F","31 °C
(87.8) °F","43
(1)",77%,9,9
Brazil,Para ,September,"27.6 °C
(81.6) °F","24.7 °C
(76.4) °F","31.7 °C
(89.1) °F","29
(1)",74%,6,8.3
Brazil,Para ,October,"27.9 °C
(82.2) °F","24.9 °C
(76.9) °F","32.1 °C
(89.9) °F","31
(1)",72%,5,8.4
Brazil,Para ,November,"28.1 °C
(82.5) °F","25.2 °C
(77.3) °F","32.2 °C
(89.9) °F","43
(1)",72%,6,8.6
Brazil,Para ,December,"27.3 °C
(81.1) °F","25 °C
(77) °F","30.8 °C
(87.4) °F","117
(4)",78%,14,8.5
Brazil,Rondonia,January,"25.6 °C
(78.1) °F","23.4 °C
(74.1) °F","29.4 °C
(84.9) °F","311
(12)",90%,21,7.6
Brazil,Rondonia,February,"25.5 °C
(77.9) °F","23.3 °C
(74) °F","29.2 °C
(84.6) °F","321
(12)",91%,19,7.3
Brazil,Rondonia,March,"25.5 °C
(78) °F","23.4 °C
(74.1) °F","29.3 °C
(84.7) °F","323
(12)",91%,21,7
Brazil,Rondonia,April,"25.5 °C
(78) °F","23.4 °C
(74.1) °F","29.2 °C
(84.6) °F","224
(8)",91%,19,6.5
Brazil,Rondonia,May,"25.4 °C
(77.7) °F","23 °C
(73.4) °F","29 °C
(84.2) °F","137
(5)",88%,16,6.7
Brazil,Rondonia,June,"25.6 °C
(78) °F","22.4 °C
(72.3) °F","29.8 °C
(85.6) °F","46
(1)",84%,7,8.1
Brazil,Rondonia,July,"26.2 °C
(79.1) °F","22.1 °C
(71.8) °F","31.4 °C
(88.5) °F","23
(0)",74%,4,9.4
Brazil,Rondonia,August,"27.5 °C
(81.5) °F","23 °C
(73.4) °F","33.3 °C
(91.9) °F","44
(1)",66%,6,9.9
Brazil,Rondonia,September,"27.5 °C
(81.5) °F","23.9 °C
(74.9) °F","32.7 °C
(90.8) °F","96
(3)",76%,11,9.2
Brazil,Rondonia,October,"27 °C
(80.6) °F","24 °C
(75.2) °F","31.6 °C
(88.9) °F","164
(6)",83%,16,8.7
Brazil,Rondonia,November,"26.2 °C
(79.2) °F","23.8 °C
(74.8) °F","30.2 °C
(86.4) °F","230
(9)",88%,18,7.9
Brazil,Rondonia,December,"25.8 °C
(78.5) °F","23.6 °C
(74.5) °F","29.6 °C
(85.3) °F","297
(11)",90%,20,7.6
Brazil,Roraima,January,"27.7 °C
(81.9) °F","24.1 °C
(75.4) °F","32.1 °C
(89.7) °F","38
(1)",63%,5,8.7
Brazil,Roraima,February,"28 °C
(82.4) °F","24.3 °C
(75.8) °F","32.5 °C
(90.4) °F","35
(1)",61%,5,8.7
Brazil,Roraima,March,"28.4 °C
(83) °F","24.6 °C
(76.3) °F","33 °C
(91.4) °F","65
(2)",60%,7,9.1
Brazil,Roraima,April,"27 °C
(80.6) °F","24 °C
(75.2) °F","31 °C
(87.8) °F","212
(8)",74%,12,8.2
Brazil,Roraima,May,"25.5 °C
(77.9) °F","23.3 °C
(73.9) °F","28.8 °C
(83.9) °F","354
(13)",86%,19,6.8
Brazil,Roraima,June,"25 °C
(77) °F","22.7 °C
(72.8) °F","28.3 °C
(82.9) °F","319
(12)",89%,20,6.6
Brazil,Roraima,July,"24.9 °C
(76.9) °F","22.5 °C
(72.4) °F","28.4 °C
(83.1) °F","259
(10)",88%,20,6.8
Brazil,Roraima,August,"25.7 °C
(78.2) °F","22.8 °C
(73) °F","29.4 °C
(84.9) °F","163
(6)",86%,16,7.4
Brazil,Roraima,September,"26.6 °C
(79.9) °F","23.2 °C
(73.8) °F","30.8 °C
(87.4) °F","102
(4)",81%,12,8.6
Brazil,Roraima,October,"27.6 °C
(81.7) °F","23.9 °C
(75) °F","32 °C
(89.5) °F","78
(3)",74%,10,9.2
Brazil,Roraima,November,"27.6 °C
(81.7) °F","24.1 °C
(75.4) °F","31.9 °C
(89.4) °F","93
(3)",74%,10,9
Brazil,Roraima,December,"27.5 °C
(81.5) °F","24.2 °C
(75.5) °F","31.6 °C
(88.8) °F","65
(2)",70%,8,8.5
Brazil,Tocantins,January,"25.6 °C
(78.1) °F","22.6 °C
(72.6) °F","29.7 °C
(85.4) °F","355
(13)",82%,19,8.5
Brazil,Tocantins,February,"25.6 °C
(78.1) °F","22.5 °C
(72.5) °F","29.7 °C
(85.4) °F","324
(12)",82%,18,8.1
Brazil,Tocantins,March,"25.6 °C
(78.1) °F","22.5 °C
(72.5) °F","29.7 °C
(85.5) °F","317
(12)",83%,19,7.7
Brazil,Tocantins,April,"26 °C
(78.9) °F","22.5 °C
(72.6) °F","30.3 °C
(86.5) °F","198
(7)",78%,14,8.3
Brazil,Tocantins,May,"26.8 °C
(80.3) °F","22.6 °C
(72.7) °F","31.5 °C
(88.6) °F","59
(2)",67%,5,9.6
Brazil,Tocantins,June,"26.7 °C
(80.1) °F","21.5 °C
(70.6) °F","32.2 °C
(90) °F","3
(0)",54%,0,10.2
Brazil,Tocantins,July,"26.8 °C
(80.2) °F","21 °C
(69.8) °F","32.6 °C
(90.7) °F","1
(0)",46%,0,10.4
Brazil,Tocantins,August,"28.1 °C
(82.6) °F","22 °C
(71.6) °F","34.2 °C
(93.6) °F","1
(0)",39%,0,10.6
Brazil,Tocantins,September,"29.6 °C
(85.3) °F","24 °C
(75.2) °F","35.3 °C
(95.5) °F","28
(1)",41%,3,10.6
Brazil,Tocantins,October,"28.3 °C
(83) °F","23.9 °C
(75.1) °F","33.3 °C
(91.9) °F","134
(5)",60%,12,9.9
Brazil,Tocantins,November,"26.5 °C
(79.7) °F","23.1 °C
(73.6) °F","30.8 °C
(87.5) °F","249
(9)",77%,16,9.3
Brazil,Tocantins,December,"26 °C
(78.9) °F","22.8 °C
(73.1) °F","30.2 °C
(86.3) °F","308
(12)",80%,18,9.2